program,flags,file_size,total_lines,instructions,functions,basic_blocks,load_instructions,store_instructions,call_instructions,runtime_seconds,peak_memory_mb
program_0,"['mem2reg', 'sroa']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'gvn']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'gvn', 'dce']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'gvn', 'dce', 'simplifycfg']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'gvn', 'dce', 'simplifycfg', 'loop-unroll']",9650,115,52,1,1,12,3,27,0,0
program_0,None,9636,115,52,1,1,12,3,27,0,0
program_0,['-O3'],9894,115,52,1,1,12,3,27,0,0
program_0,['mem2reg'],9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'gvn']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'gvn', 'dce']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'gvn', 'dce', 'loop-unroll']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'gvn', 'dce', 'loop-unroll', 'simplifycfg']",9650,115,52,1,1,12,3,27,0,0
program_0,None,9636,115,52,1,1,12,3,27,0,0
program_0,['-O3'],9894,115,52,1,1,12,3,27,0,0
program_0,['mem2reg'],9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'gvn']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'gvn', 'loop-unroll']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'gvn', 'loop-unroll', 'simplifycfg']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'gvn', 'loop-unroll', 'simplifycfg', 'dce']",9650,115,52,1,1,12,3,27,0,0
program_0,None,9636,115,52,1,1,12,3,27,0,0
program_0,['-O3'],9894,115,52,1,1,12,3,27,0,0
program_0,['mem2reg'],9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'gvn']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'gvn', 'loop-unroll']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'gvn', 'loop-unroll', 'dce']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'gvn', 'loop-unroll', 'dce', 'simplifycfg']",9650,115,52,1,1,12,3,27,0,0
program_0,None,9636,115,52,1,1,12,3,27,0,0
program_0,['-O3'],9894,115,52,1,1,12,3,27,0,0
program_0,['mem2reg'],9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'loop-unroll']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'loop-unroll', 'simplifycfg']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'loop-unroll', 'simplifycfg', 'dce']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'loop-unroll', 'simplifycfg', 'dce', 'gvn']",9650,115,52,1,1,12,3,27,0,0
program_0,None,9636,115,52,1,1,12,3,27,0,0
program_0,['-O3'],9894,115,52,1,1,12,3,27,0,0
program_0,['mem2reg'],9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'loop-unroll']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'loop-unroll', 'simplifycfg']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'loop-unroll', 'simplifycfg', 'gvn']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'loop-unroll', 'simplifycfg', 'gvn', 'dce']",9650,115,52,1,1,12,3,27,0,0
program_0,None,9636,115,52,1,1,12,3,27,0,0
program_0,['-O3'],9894,115,52,1,1,12,3,27,0,0
program_0,['mem2reg'],9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'loop-unroll']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'loop-unroll', 'dce']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'loop-unroll', 'dce', 'simplifycfg']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'loop-unroll', 'dce', 'simplifycfg', 'gvn']",9650,115,52,1,1,12,3,27,0,0
program_0,None,9636,115,52,1,1,12,3,27,0,0
program_0,['-O3'],9894,115,52,1,1,12,3,27,0,0
program_0,['mem2reg'],9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'loop-unroll']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'loop-unroll', 'dce']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'loop-unroll', 'dce', 'gvn']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'loop-unroll', 'dce', 'gvn', 'simplifycfg']",9650,115,52,1,1,12,3,27,0,0
program_0,None,9636,115,52,1,1,12,3,27,0,0
program_0,['-O3'],9894,115,52,1,1,12,3,27,0,0
program_0,['mem2reg'],9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'loop-unroll']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'loop-unroll', 'gvn']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'loop-unroll', 'gvn', 'simplifycfg']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'loop-unroll', 'gvn', 'simplifycfg', 'dce']",9650,115,52,1,1,12,3,27,0,0
program_0,None,9636,115,52,1,1,12,3,27,0,0
program_0,['-O3'],9894,115,52,1,1,12,3,27,0,0
program_0,['mem2reg'],9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'loop-unroll']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'loop-unroll', 'gvn']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'loop-unroll', 'gvn', 'dce']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'loop-unroll', 'gvn', 'dce', 'simplifycfg']",9650,115,52,1,1,12,3,27,0,0
program_0,None,9636,115,52,1,1,12,3,27,0,0
program_0,['-O3'],9894,115,52,1,1,12,3,27,0,0
program_0,['mem2reg'],9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'simplifycfg']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'simplifycfg', 'sroa']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'simplifycfg', 'sroa', 'dce']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'simplifycfg', 'sroa', 'dce', 'gvn']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'simplifycfg', 'sroa', 'dce', 'gvn', 'loop-unroll']",9650,115,52,1,1,12,3,27,0,0
program_0,None,9636,115,52,1,1,12,3,27,0,0
program_0,['-O3'],9894,115,52,1,1,12,3,27,0,0
program_0,['mem2reg'],9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'simplifycfg']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'simplifycfg', 'sroa']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'simplifycfg', 'sroa', 'dce']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'simplifycfg', 'sroa', 'dce', 'loop-unroll']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'simplifycfg', 'sroa', 'dce', 'loop-unroll', 'gvn']",9650,115,52,1,1,12,3,27,0,0
program_0,None,9636,115,52,1,1,12,3,27,0,0
program_0,['-O3'],9894,115,52,1,1,12,3,27,0,0
program_0,['mem2reg'],9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'simplifycfg']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'simplifycfg', 'sroa']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'simplifycfg', 'sroa', 'gvn']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'simplifycfg', 'sroa', 'gvn', 'dce']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'simplifycfg', 'sroa', 'gvn', 'dce', 'loop-unroll']",9650,115,52,1,1,12,3,27,0,0
program_0,None,9636,115,52,1,1,12,3,27,0,0
program_0,['-O3'],9894,115,52,1,1,12,3,27,0,0
program_0,['mem2reg'],9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'simplifycfg']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'simplifycfg', 'sroa']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'simplifycfg', 'sroa', 'gvn']",9650,115,52,1,1,12,3,27,0,0
