program,flags,file_size,total_lines,instructions,functions,basic_blocks,load_instructions,store_instructions,call_instructions,runtime_seconds,peak_memory_mb
program_0,"['dce', 'simplifycfg', 'loop-unroll', 'gvn', 'sroa', 'mem2reg']",9650,115,52,1,1,12,3,27,0,0
program_0,None,9636,115,52,1,1,12,3,27,0,0
program_0,['-O3'],9894,115,52,1,1,12,3,27,0,0
program_0,['mem2reg'],9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'gvn']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'gvn', 'simplifycfg']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'gvn', 'simplifycfg', 'dce']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'gvn', 'simplifycfg', 'dce', 'sroa']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'gvn', 'simplifycfg', 'dce', 'sroa', 'loop-unroll']",9650,115,52,1,1,12,3,27,0,0
program_0,None,9636,115,52,1,1,12,3,27,0,0
program_0,['-O3'],9894,115,52,1,1,12,3,27,0,0
program_0,['loop-unroll'],9650,115,52,1,1,12,3,27,0,0
program_0,"['loop-unroll', 'gvn']",9650,115,52,1,1,12,3,27,0,0
program_0,"['loop-unroll', 'gvn', 'mem2reg']",9650,115,52,1,1,12,3,27,0,0
program_0,"['loop-unroll', 'gvn', 'mem2reg', 'dce']",9650,115,52,1,1,12,3,27,0,0
program_0,"['loop-unroll', 'gvn', 'mem2reg', 'dce', 'simplifycfg']",9650,115,52,1,1,12,3,27,0,0
program_0,"['loop-unroll', 'gvn', 'mem2reg', 'dce', 'simplifycfg', 'sroa']",9650,115,52,1,1,12,3,27,0,0
program_0,None,9636,115,52,1,1,12,3,27,0,0
program_0,['-O3'],9894,115,52,1,1,12,3,27,0,0
program_0,['dce'],9650,115,52,1,1,12,3,27,0,0
program_0,"['dce', 'sroa']",9650,115,52,1,1,12,3,27,0,0
program_0,"['dce', 'sroa', 'loop-unroll']",9650,115,52,1,1,12,3,27,0,0
